f0dp0	AAA43145	A/duck/33/1980	H3	1980	avian	gi|324086|gb|AAA43145| /Avian/HA/H3/4/Japan/1980/// hemagglutinin precursor [Influenza A virus (A/duck/33/1980(H3))]	1980/00/00/
f0dp238	AAT64878	A/Hong Kong/280/97	H3N2	1997	human	gi|49339377|gb|AAT64878| /Human/HA/H3N2/4/Hong Kong/1997/// hemagglutinin[Influenza A virus (A/Hong Kong/280/97(H3N2))]	1997/00/00/
f0dp239	AAT64879	A/Hong Kong/55/1994	H3N2	1994	human	gi|49339379|gb|AAT64879| /Human/HA/H3N2/4/Hong Kong/1994/// hemagglutinin[Influenza A virus (A/Hong Kong/55/1994(H3N2))]	1994/00/00/
f0dp240	AAT64880	A/Netherlands/300/97	H3N2	1997	human	gi|49339381|gb|AAT64880| /Human/HA/H3N2/4/Netherlands/1997/// hemagglutinin[Influenza A virus (A/Netherlands/300/97(H3N2))]	1997/00/00/
f0dp241	AAT64881	A/Netherlands/414/98	H3N2	1998	human	gi|49339383|gb|AAT64881| /Human/HA/H3N2/4/Netherlands/1998/// hemagglutinin[Influenza A virus (A/Netherlands/414/98(H3N2))]	1998/00/00/
f0dp242	AAT64882	A/Netherlands/427/98	H3N2	1998	human	gi|49339385|gb|AAT64882| /Human/HA/H3N2/4/Netherlands/1998/// hemagglutinin[Influenza A virus (A/Netherlands/427/98(H3N2))]	1998/00/00/
f0dp243	AAT64883	A/Netherlands/462/98	H3N2	1998	human	gi|49339387|gb|AAT64883| /Human/HA/H3N2/4/Netherlands/1998/// hemagglutinin[Influenza A virus (A/Netherlands/462/98(H3N2))]	1998/00/00/
f0dp244	AAT64884	A/Netherlands/5/98	H3N2	1998	human	gi|49339389|gb|AAT64884| /Human/HA/H3N2/4/Netherlands/1998/// hemagglutinin[Influenza A virus (A/Netherlands/5/98(H3N2))]	1998/00/00/
f0dp245	AAT64885	A/Nice/491/97	H3N2	1997	human	gi|49339391|gb|AAT64885| /Human/HA/H3N2/4/France/1997/// hemagglutinin[Influenza A virus (A/Nice/491/97(H3N2))]	1997/00/00/
f0dp246	AAT64886	A/Singapore/3/93	H3N2	1993	human	gi|49339393|gb|AAT64886| /Human/HA/H3N2/4/Singapore/1993/// hemagglutinin[Influenza A virus (A/Singapore/3/93(H3N2))]	1993/00/00/
f0dp247	ABP51971	A/Fujian/411/2002	H3N2	2002	human	gi|145284454|gb|ABP51971| /Human/HA/H3N2/4/China/2002/08/11/ hemagglutinin[Influenza A virus (A/Fujian/411/2002(H3N2))]	2002/08/11/
f0dp248	ABQ10136	A/Sydney/5/1997	H3N2	1997	human	gi|146216851|gb|ABQ10136| /Human/HA/H3N2/4/Australia/1997/06/29/ hemagglutinin[Influenza A virus (A/Sydney/5/1997(H3N2))]	1997/06/29/
f0dp249	ABQ58926	A/Victoria/3/1975	H3N2	1975	human	gi|148340561|gb|ABQ58926| /Human/HA/H3N2/4/Australia/1975/// hemagglutinin[Influenza A virus (A/Victoria/3/1975(H3N2))]	1975/00/00/
f0dp250	ABQ58927	A/Bangkok/1/1979	H3N2	1979	human	gi|148340563|gb|ABQ58927| /Human/HA/H3N2/4/Thailand/1979/// hemagglutinin[Influenza A virus (A/Bangkok/1/1979(H3N2))]	1979/00/00/
f0dp251	ABQ58929	A/Panama/2007/1999	H3N2	1999	human	gi|148340567|gb|ABQ58929| /Human/HA/H3N2/4/Panama/1999/// hemagglutinin[Influenza A virus (A/Panama/2007/1999(H3N2))]	1999/00/00/
f0dp252	ABQ58930	A/England/42/1972	H3N2	1972	human	gi|148340569|gb|ABQ58930| /Human/HA/H3N2/4/United Kingdom/1972/// hemagglutinin[Influenza A virus (A/England/42/1972(H3N2))]	1972/00/00/
f0dp253	ABQ58932	A/Hong Kong/107/1971	H3N2	1971	human	gi|148340573|gb|ABQ58932| /Human/HA/H3N2/4/Hong Kong/1971/// hemagglutinin[Influenza A virus (A/Hong Kong/107/1971(H3N2))]	1971/00/00/
f0dp254	ABQ58940	A/Texas/1/1977	H3N2	1977	human	gi|148340589|gb|ABQ58940| /Human/HA/H3N2/4/USA/1977/// hemagglutinin[Influenza A virus (A/Texas/1/1977(H3N2))]	1977/00/00/
f0dp255	AAC78098	A/Netherlands/172/96	H3N2	1996	human	gi|3885876|gb|AAC78098| /Human/HA/H3N2/4/Netherlands/1996/// hemagglutinin[Influenza A virus (A/Netherlands/172/96(H3N2))]	1996/00/00/
f0dp256	ABQ58928	A/Bangkok/2/1979	H3N2	1979	human	gi|148340565|gb|ABQ58928| /Human/HA/H3N2/4/Thailand/1979/// hemagglutinin[Influenza A virus (A/Bangkok/2/1979(H3N2))]	1979/00/00/
f0dp257	AAB69838	A/Christchurch/4/1985	H3N2	1985	human	gi|2275533|gb|AAB69838| /Human/HA/H3N2/4/New Zealand/1985/// hemagglutinin[Influenza A virus (A/Christchurch/4/1985(H3N2))]	1985/00/00/
f0dp258	AAB66725	A/Hong Kong/34/1990	H3N2	1990	human	gi|2271041|gb|AAB66725| /Human/HA/H3N2/4/Hong Kong/1990/// hemagglutinin[Influenza A virus (A/Hong Kong/34/1990(H3N2))]	1990/00/00/
